total_transactions,num_deposit,num_borrow,num_repay,num_redeem,num_liquidation,total_usd_deposit,total_usd_borrow,total_usd_repay,wallet,avg_tx_interval,repay_borrow_ratio
1,1,0,0,0,0,10.23869648132951,0.0,0.0,0x0036472d3ca5e7ab22477d62682b2a3d9436d328,0.0,0.0
27,7,8,7,5,0,2736.4465453621165,161.72775240543808,149.2716038169644,0x0036534c48a754163f0f446601f36bcfda840f57,42799.692307692305,0.9229807599301376
11,9,1,0,1,0,2664.374365870701,788.5672363468941,0.0,0x00368bb9dba2ee83f3553feae59710b9c3743e09,327001.6,0.0
1,1,0,0,0,0,1.0147174318145307,0.0,0.0,0x0036a2f1f6136bb9d7992f7def692126a279e702,0.0,0.0
43,9,14,14,6,0,3252.077668192559,2412.8944437615223,1406.5984034508595,0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,115661.30952380953,0.5829506579069731
12,4,2,2,4,0,1405.6226989069917,428.5623402084706,447.1366949851244,0x0036bc671c03460dec7d0ab24f45df0cf33d042b,550478.9090909091,1.0433410802442848
1,1,0,0,0,0,1.838240365231003e-12,0.0,0.0,0x0037643e4ec2b622270676e9e7aa163b261cfb79,0.0,0.0
9,3,0,0,6,0,4.9782897057335104e-08,0.0,0.0,0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,537800.75,0.0
28,7,13,0,7,1,55.655615174069055,84.00700978868484,0.0,0x0037daf6fb154db55110ced85cb4ba9e1204ca17,216054.44444444444,0.0
1,1,0,0,0,0,1.093929711885596e-12,0.0,0.0,0x0038281701bf3f51fdbb18903c6e18776780a9a1,0.0,0.0
610,328,100,76,106,0,2695443.719853643,1689556.5436388063,1.4260821549210404e-06,0x00389de87cae34a6f89e13cc8225c4984add8b37,8267.863711001643,8.440570753848108e-13
2,1,1,0,0,0,0.030783814783927176,0.004735971505219565,0.0,0x0039e71541bdc798d062346bce94230bf519bb72,0.0,0.0
6,2,0,0,4,0,10017.499799558684,0.0,0.0,0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,47934.8,0.0
177,131,22,12,12,0,1747129.2874329577,5014.4260824120465,4970.980528664495,0x003a85c562730b196f7cba202a2515f2ff855736,50239.44886363636,0.9913358870918577
13,4,5,4,0,0,2427.943365150083,8.859066653037405e-10,8.860212731966362e-10,0x003a969ef82e876824b4131a1bbafbdb46a2ca90,16795.916666666668,1.0001293679090408
2,2,0,0,0,0,2.0859259470726456e-12,0.0,0.0,0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,432364.0,0.0
43,39,3,0,1,0,590.4448410839876,112.41839798277496,0.0,0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,163242.47619047618,0.0
4,2,0,0,2,0,1.4196701719755855e-10,0.0,0.0,0x003b2816d976cebbf0cadec981ff59286b6d7f2f,560178.0,0.0
4,0,1,0,0,3,0.0,7.321317130665956e-13,0.0,0x003be39433bde975b12411fbc3025d49d813a84f,932580.0,0.0
1,1,0,0,0,0,1.622958931890345e-12,0.0,0.0,0x003cb0842811db8d115e28f13048dd83db391dcb,0.0,0.0
1,1,0,0,0,0,1.4560059765045592,0.0,0.0,0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,0.0,0.0
6,0,1,3,2,0,0.0,1.7149573487703489e-09,3.414426915768484e-09,0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,31382.8,1.9909689988597568
31,6,9,8,8,0,29060.98794132161,1.737267688475029e-08,1.41095074277464e-08,0x003e9a119439ef34de3237034cee95675b01d5d4,265049.3,0.8121665717579599
2,2,0,0,0,0,0.00022940750343754807,0.0,0.0,0x003ed65a094ef804c934f2427b601e03113882ff,14.0,0.0
144,59,50,16,19,0,842.1037730673564,342.7197258832004,1.0736614628823244e-09,0x003edfecb016131dbd485c72f3b6f2e98a1429d9,24938.685314685314,3.1327682120294134e-12
1,1,0,0,0,0,15.939348187759633,0.0,0.0,0x003f705c2e62e268891d8aa2724e32f2176dc963,0.0,0.0
39,19,3,4,13,0,47005.909333373245,1.704396976290176e-08,1.6966997048559368e-08,0x00402e826833fbeb6f67072f3df3c8554a0b10e6,72539.71052631579,0.9954838740379642
144,87,40,0,17,0,3.030168265732339e-08,16879.719934261102,0.0,0x00405f7b768a9a6b81e8060a17f0550501acf6be,34302.3006993007,0.0
2,1,0,0,1,0,9.814599508936936e-12,0.0,0.0,0x0040932d4c252856709b24dc406244392d3df400,80.0,0.0
6,6,0,0,0,0,2111.7604116621546,0.0,0.0,0x0040daac32d83c78546ae36da42a496b28ab09e1,1062826.6,0.0
1,1,0,0,0,0,1213.755,0.0,0.0,0x00418b8ea6c6e2d5676f651bf76a368adb845e91,0.0,0.0
154,43,34,55,22,0,4758.545251261542,1514.6323054445925,1175.692336118231,0x0041dac13d9365b4d695fb612950dc71884f8db1,28961.385620915033,0.7762229366771153
2,1,0,0,1,0,9.225488219474806e-09,0.0,0.0,0x0043090d0a3338eb89914ea9af5c529e928a044c,150.0,0.0
1,1,0,0,0,0,1.1097787248896629e-12,0.0,0.0,0x0043260ff376a32f335de2091e8bd455d74ecef9,0.0,0.0
1,1,0,0,0,0,1.0990597666209374,0.0,0.0,0x00432772ed25d4eb3c6eb26dc461239b35cf8760,0.0,0.0
3,2,0,0,1,0,2.0819294760129826e-11,0.0,0.0,0x00432beb667c8908a74f35fef62882b502347e61,161375.5,0.0
30,29,0,0,1,0,175.44646591787034,0.0,0.0,0x00433d27687ff685d3871395d7fedfd42b1c3529,241402.72413793104,0.0
8,7,0,0,1,0,181.1794536243991,0.0,0.0,0x0043f8113eb1257bc6314fe0434eec0d9bac3837,651186.0,0.0
12,3,5,3,1,0,2171.829735977998,2.2259267646151285e-09,2.2259033657989125e-09,0x004403abb2246c48ac770e30e7b36e3b16e152a1,184792.45454545456,0.9999894880565758
